"day","time","ord","car","what","duration","place"
"Tue","16:00-16:30 ","FSG62","46 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","16:45-17:15 ","FSG29","96 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","16:45-17:15 ","FSG30","51 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","16:45-17:15 ","FSG31","85 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","16:45-17:15 ","FSG32","62 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","17:30-18:00 ","FSG33","43 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","17:30-18:00 ","FSG34","35 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","17:30-18:00 ","FSG35","11 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","17:30-18:00 ","FSG36","200 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","17:30-18:45 ","FSG78","187 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Tue","17:30-18:45 ","FSG79","80 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Tue","17:30-18:45 ","FSG80","70 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Tue","17:30-18:45 ","FSG81","181 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Tue","17:30-18:45 ","FSG82","249 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Tue","17:30-18:45 ","FSG83","127 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Wed","09:00-09:30 ","FSG37","67 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","09:00-09:30 ","FSG38","111 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
